"ID";"Name";"Description";"ParentCode"
"F12";"";"";""
"F";"";"";""
"F_NG";"";"";""
"_Z";"";"";"F_NG"
"F_NN";"";"";""
"F1";"";"";""
"F11";"";"";""
"F11A";"";"";""
"F11B";"";"";""
"F2";"";"";""
"F21";"";"";""
"F22";"";"";""
"F221";"";"";""
"F229";"";"";""
"F2291";"";"";""
"F29";"";"";""
"F29A";"";"";""
"F29B";"";"";""
"F29C";"";"";""
"F2A";"";"";""
"F2B";"";"";""
"F2M";"";"";""
"F2MF";"";"";""
"F2MM";"";"";""
"F3";"";"";""
"F3A";"";"";""
"F3B";"";"";""
"F3C";"";"";""
"F3D";"";"";""
"F4";"";"";""
"F41";"";"";""
"F41A";"";"";""
"F4A";"";"";""
"F4A1";"";"";""
"F4A11";"";"";""
"F4A19";"";"";""
"F4A2";"";"";""
"F4A21";"";"";""
"F4A22";"";"";""
"F4A29";"";"";""
"F4A291";"";"";""
"F4A299";"";"";""
"F4AK";"";"";""
"F4B";"";"";""
"F4B1";"";"";""
"F4B2";"";"";""
"F4C";"";"";""
"F5";"";"";""
"F51";"";"";""
"F511";"";"";""
"F512";"";"";""
"F519";"";"";""
"F51A";"";"";""
"F51B";"";"";""
"F51M";"";"";""
"F52";"";"";""
"F521";"";"";""
"F522";"";"";""
"F5221";"";"";""
"F5222";"";"";""
"F5223";"";"";""
"F5224";"";"";""
"F5229";"";"";""
"F52A";"";"";""
"F52B";"";"";""
"F5A";"";"";""
"F5AE";"";"";""
"F5AF";"";"";""
"F5AG";"";"";""
"F5AM";"";"";""
"F5B";"";"";""
"F5I";"";"";""
"F5O";"";"";""
"F5OP";"";"";""
"F5P";"";"";""
"F5PN";"";"";""
"F6";"";"";""
"F61";"";"";""
"F62";"";"";""
"F62A";"";"";""
"F62B";"";"";""
"F63";"";"";""
"F63A";"";"";""
"F63A1";"";"";""
"F63A2";"";"";""
"F63A3";"";"";""
"F63B";"";"";""
"F63B1";"";"";""
"F63B2";"";"";""
"F63B3";"";"";""
"F63C";"";"";""
"F63C1";"";"";""
"F63C2";"";"";""
"F63C3";"";"";""
"F63F";"";"";""
"F63H";"";"";""
"F63I";"";"";""
"F63O";"";"";""
"F63O1";"";"";""
"F63O9";"";"";""
"F64";"";"";""
"F65";"";"";""
"F66";"";"";""
"F6M";"";"";""
"F6O";"";"";""
"F7";"";"";""
"F71";"";"";""
"F711";"";"";""
"F711A";"";"";""
"F711B";"";"";""
"F712";"";"";""
"F712A";"";"";""
"F712B";"";"";""
"F712C";"";"";""
"F712D";"";"";""
"F71FF";"";"";""
"F71FO";"";"";""
"F71R";"";"";""
"F72";"";"";""
"F8";"";"";""
"F81";"";"";""
"F81A";"";"";""
"F81B";"";"";""
"F81A1";"";"";""
"F81A2";"";"";""
"F81A3";"";"";""
"F81A4";"";"";""
"F81AX";"";"";""
"F89";"";"";""
"F89A_B";"";"";""
"F89A";"";"";""
"F89B";"";"";""
"F89C";"";"";""
"F89D";"";"";""
"F89A1";"";"";""
"F89A2";"";"";""
"F89A3";"";"";""
"F89B1";"";"";""
"F9";"";"";""
"FD";"";"";""
"FF";"";"";""
"FGED";"";"";""
"FI";"";"";""
"FK";"";"";""
"FL";"";"";""
"FLA";"";"";""
"FLD";"";"";""
"FLE";"";"";""
"FM";"";"";""
"FN";"";"";""
"FNDL";"";"";""
"FNDX";"";"";""
"FNED";"";"";""
"FO";"";"";""
"FO1";"";"";""
"FP";"";"";""
"FPU";"";"";""
"FQ";"";"";""
"FR";"";"";""
"FR1";"";"";""
"FR1Z";"";"";""
"FR2";"";"";""
"FR3";"";"";""
"FR4";"";"";""
"FR41";"";"";""
"FR411";"";"";""
"FR5";"";"";""
"FR51";"";"";""
"FR6";"";"";""
"FR8";"";"";""
"FR9";"";"";""
"FT";"";"";""
"FU";"";"";""
"FV";"";"";""
"GD";"";"";""
"GDA";"";"";""
"GDM1";"";"";""
"GDM2";"";"";""
"N11KG";"";"";""
"N11KN";"";"";""
"N111G";"";"";""
"N111N";"";"";""
"N1121G";"";"";""
"N1121N";"";"";""
"N1122G";"";"";""
"N1122N";"";"";""
"N1123G";"";"";""
"N1123N";"";"";""
"N112G";"";"";""
"N112N";"";"";""
"N1131G";"";"";""
"N1131N";"";"";""
"N11321G";"";"";""
"N11321N";"";"";""
"N11322G";"";"";""
"N11322N";"";"";""
"N1132G";"";"";""
"N1132N";"";"";""
"N1139G";"";"";""
"N1139N";"";"";""
"N113KG";"";"";""
"N113KN";"";"";""
"N113G";"";"";""
"N113N";"";"";""
"N114G";"";"";""
"N114N";"";"";""
"N1151G";"";"";""
"N1151N";"";"";""
"N1152G";"";"";""
"N1152N";"";"";""
"N115G";"";"";""
"N115N";"";"";""
"N116G";"";"";""
"N116N";"";"";""
"N1171G";"";"";""
"N1171N";"";"";""
"N1172G";"";"";""
"N1172N";"";"";""
"N11731G";"";"";""
"N11731N";"";"";""
"N11732G";"";"";""
"N11732N";"";"";""
"N1173G";"";"";""
"N1173N";"";"";""
"N1174G";"";"";""
"N1174N";"";"";""
"N1179G";"";"";""
"N1179N";"";"";""
"N117G";"";"";""
"N117N";"";"";""
"N11G";"";"";""
"N11MG";"";"";""
"N11MN";"";"";""
"N11N";"";"";""
"N11OG";"";"";""
"N11ON";"";"";""
"N121G";"";"";""
"N121N";"";"";""
"N1221G";"";"";""
"N1221N";"";"";""
"N1222G";"";"";""
"N1222N";"";"";""
"N122G";"";"";""
"N122N";"";"";""
"N123G";"";"";""
"N123N";"";"";""
"N124G";"";"";""
"N124N";"";"";""
"N125G";"";"";""
"N125N";"";"";""
"N12G";"";"";""
"N12N";"";"";""
"N131G";"";"";""
"N131N";"";"";""
"N132G";"";"";""
"N132N";"";"";""
"N133G";"";"";""
"N133N";"";"";""
"N13G";"";"";""
"N13N";"";"";""
"N1G";"";"";""
"N1N";"";"";""
"N1OG";"";"";""
"N1ON";"";"";""
"N2111AG";"";"";""
"N2111AN";"";"";""
"N2111G";"";"";""
"N2111N";"";"";""
"N2112G";"";"";""
"N2112N";"";"";""
"N2113G";"";"";""
"N2113N";"";"";""
"N2119G";"";"";""
"N2119N";"";"";""
"N211G";"";"";""
"N211N";"";"";""
"N212G";"";"";""
"N212N";"";"";""
"N213G";"";"";""
"N213N";"";"";""
"N214G";"";"";""
"N214N";"";"";""
"N2151G";"";"";""
"N2151N";"";"";""
"N2159G";"";"";""
"N2159N";"";"";""
"N215G";"";"";""
"N215N";"";"";""
"N215UN";"";"";""
"N21G";"";"";""
"N21N";"";"";""
"N21OG";"";"";""
"N21ON";"";"";""
"N221G";"";"";""
"N221N";"";"";""
"N222G";"";"";""
"N222N";"";"";""
"N223G";"";"";""
"N223N";"";"";""
"N224G";"";"";""
"N224N";"";"";""
"N22G";"";"";""
"N22N";"";"";""
"N23G";"";"";""
"N23N";"";"";""
"N2G";"";"";""
"N2N";"";"";""
"NG";"";"";""
"NM111N";"";"";""
"NMN";"";"";""
"NN";"";"";""
"NUN";"";"";""
"NYN";"";"";""
"F11Z";"";"";""
